Datetime,CPU,RSS,VMSize,Read,Write,Annotation,,,
2022-08-11 06-15-28,1097.750309,35524567040,43301478400,4096,4096,,,,
2022-08-11 06-15-31,1091.434486,35524485120,43314348032,16384,4096,,,,
2022-08-11 06-15-35,1086.30589,35524722688,43323015168,16384,4096,,,,
2022-08-11 06-15-38,1032.828851,35524808704,43327479808,16384,4096,,,,
2022-08-11 06-15-42,1089.022556,35553607680,43361529856,16384,4096,,,,
2022-08-11 06-15-45,938.2985935,35526213632,43340611584,16384,4096,,,,
2022-08-11 06-15-49,1068.984598,35526258688,43332468736,4096,4096,,,,
2022-08-11 06-16-56,929.3168921,35530964992,43335872512,16384,4096,,,,
2022-08-11 06-17-00,976.7194427,35531722752,43344539648,16384,4096,,,,
2022-08-11 06-17-03,1120.512925,35531821056,43344801792,20480,4096,,,,
2022-08-11 06-17-07,1098.826426,35532218368,43345063936,20480,4096,,,,
2022-08-11 06-17-10,963.7256136,35532513280,43347427328,20480,4096,,,,
2022-08-11 06-17-14,928.0179094,35533615104,43349790720,20480,4096,,,,
2022-08-11 06-17-17,1113.101867,35532824576,43310129152,20480,4096,,,,
2022-08-11 06-17-21,1000.151847,35533955072,43325100032,20480,4096,,,,
2022-08-11 06-17-24,922.4671109,35533930496,43334029312,20480,4096,,,,
2022-08-11 06-17-28,982.78213,35589128192,43393720320,20480,4096,,,,
2022-08-11 06-17-31,909.0206849,35534471168,43347161088,12288,4096,,,,
2022-08-11 06-17-45,1026.851385,35535589376,43325095936,4096,4096,,,,
2022-08-11 06-17-49,1458.474609,35535806464,43331661824,4096,4096,,,,
2022-08-11 06-17-53,956.8528559,35536318464,43338227712,4096,4096,,,,
2022-08-11 06-17-56,843.7654616,35536277504,43342692352,4096,4096,,,,
2022-08-11 06-17-59,921.5414851,35536404480,43347156992,4096,4096,,,,
2022-08-11 06-18-03,1024.294046,35536826368,43347419136,20480,8192,,,,
2022-08-11 06-18-07,1060.65264,35592208384,43407216640,20480,4096,,,,
2022-08-11 06-18-10,1010.54236,35592794112,43403276288,4096,4096,,,,
2022-08-11 06-18-46,1101.519807,35540267008,43338219520,20480,4096,,,,
2022-08-11 06-18-49,972.2026506,35540561920,43345047552,20480,4096,,,,
2022-08-11 06-18-53,1139.357266,35541123072,43351613440,20480,4096,,,,
2022-08-11 06-18-56,1026.204223,35540869120,43353976832,4096,4096,,,,
2022-08-11 06-19-00,1067.158427,35541426176,43358441472,20480,4096,,,,
2022-08-11 06-19-04,1355.280385,35540893696,43318779904,20480,4096,,,,
2022-08-11 06-19-07,982.6639553,35542061056,43331649536,20480,4096,,,,
2022-08-11 06-19-11,1149.205831,35542355968,43340316672,20480,4096,,,,
2022-08-11 06-19-14,1151.0577,35542536192,43351085056,20480,4096,,,,
2022-08-11 06-19-18,1227.057407,35542724608,43355549696,4096,4096,,,,
2022-08-11 06-19-22,1162.818052,35543252992,43357913088,4096,4096,,,,
2022-08-11 06-19-25,1228.492492,35542769664,43320352768,4096,4096,,,,
2022-08-11 06-19-29,1094.569117,35543760896,43331121152,4096,4096,,,,
2022-08-11 06-19-32,974.3197279,35544170496,43341889536,20480,4096,,,,
2022-08-11 06-19-36,1068.59552,35544494080,43346616320,20480,4096,,,,
2022-08-11 06-19-40,1650.158777,35544797184,43357384704,20480,4096,,,,
2022-08-11 06-19-43,917.0004261,35544891392,43357646848,20480,4096,,,,
2022-08-11 06-19-47,1264.159803,35545358336,43355807744,20480,4096,,,,
2022-08-11 06-19-50,1096.537408,35545645056,43360272384,20480,4096,,,,
2022-08-11 06-19-54,1112.103947,35544961024,43322712064,20480,4096,,,,
2022-08-11 06-19-58,1026.222537,35546009600,43331379200,20480,4096,,,,
2022-08-11 06-20-01,1126.091734,35546234880,43340046336,20480,4096,,,,
2022-08-11 06-20-05,969.4946842,35546349568,43344510976,4096,4096,,,,
2022-08-11 06-20-08,1064.861012,35546992640,43353178112,20480,4096,,,,
2022-08-11 06-20-12,938.8037991,35547037696,43359744000,4096,4096,,,,
2022-08-11 06-20-15,1029.656586,35547193344,43364208640,12288,4096,,,,
2022-08-11 06-20-19,1176.199772,35547209728,43324809216,4096,4096,,,,
2022-08-11 06-20-22,1052.063704,35547906048,43339780096,4096,4096,,,,
2022-08-11 06-20-26,1088.47154,35547852800,43346345984,24576,4096,,,,
2022-08-11 06-20-29,1114.910079,35548823552,43352911872,24576,4096,,,,
2022-08-11 06-20-33,1053.576763,35548631040,43355275264,24576,4096,,,,
2022-08-11 06-20-37,1280.390509,35548753920,43359739904,24576,4096,,,,
2022-08-11 06-20-40,971.717086,35549339648,43362103296,24576,4096,,,,
2022-08-11 06-20-44,922.1466236,35549929472,43366567936,24576,4096,,,,
2022-08-11 06-20-47,969.6584456,35549696000,43366830080,24576,4096,,,,
2022-08-11 06-20-51,1111.089166,35549679616,43327168512,24576,4096,,,,
2022-08-11 06-20-54,975.7498729,35550089216,43344240640,24576,4096,,,,
2022-08-11 06-20-58,960.1637108,35551170560,43350806528,24576,4096,,,,
2022-08-11 06-21-01,985.7094991,35551010816,43359735808,24576,4096,,,,
2022-08-11 06-21-05,1068.416639,35552055296,43366301696,24576,4096,,,,
2022-08-11 06-21-08,974.4008159,35551625216,43364462592,24576,4096,,,,
2022-08-11 06-21-12,1110.508868,35551752192,43364724736,24576,4096,,,,
2022-08-11 06-21-15,985.9214121,35552337920,43367088128,24576,8192,,,,
2022-08-11 06-21-19,970.7296428,35552878592,43365249024,4096,4096,,,,
2022-08-11 06-21-22,1111.875593,35553271808,43367612416,4096,4096,,,,
2022-08-11 06-21-26,950.3025175,35553460224,43363672064,24576,4096,,,,
2022-08-11 06-21-29,954.3199898,35553398784,43363934208,24576,4096,,,,
2022-08-11 06-21-33,1441.068369,35553931264,43370500096,24576,4096,,,,
2022-08-11 06-21-36,1168.415457,35553353728,43330838528,24576,4096,,,,
2022-08-11 06-21-40,1001.608083,35553939456,43343708160,4096,4096,,,,
2022-08-11 06-21-43,1094.944101,35554095104,43352637440,24576,4096,,,,
2022-08-11 06-21-47,985.8253004,35554512896,43357102080,24576,4096,,,,
2022-08-11 06-21-50,1079.522284,35555258368,43365769216,4096,4096,,,,
2022-08-11 06-21-54,1098.264364,35555102720,43372335104,24576,4096,,,,
2022-08-11 06-21-58,1127.606162,35555024896,43332673536,24576,4096,,,,
2022-08-11 06-22-01,1161.771524,35556057088,43349745664,4096,4096,,,,
2022-08-11 06-22-05,1025.29737,35556368384,43356311552,24576,4096,,,,
2022-08-11 06-22-08,965.9074643,35556413440,43360776192,24576,4096,,,,
2022-08-11 06-22-12,1189.131316,35556990976,43369443328,4096,4096,,,,
2022-08-11 06-22-15,927.0102743,35557265408,43371806720,24576,4096,,,,
2022-08-11 06-22-19,1185.153902,35557789696,43372068864,24576,4096,,,,
2022-08-11 06-22-23,1379.51746,35556687872,43334508544,4096,4096,,,,
2022-08-11 06-22-27,1875.370962,35557490688,43353944064,4096,4096,,,,
2022-08-11 06-22-30,1065.786174,35557994496,43360509952,4096,4096,,,,
2022-08-11 06-22-34,1014.669413,35558383616,43369177088,4096,4096,,,,
2022-08-11 06-22-37,962.2203245,35558809600,43373641728,4096,4096,,,,
2022-08-11 06-22-41,977.0547654,35559358464,43371802624,4096,4096,,,,
2022-08-11 06-22-44,1046.767838,35559075840,43374166016,24576,4096,,,,
2022-08-11 06-22-48,920.1396577,35559243776,43374428160,24576,4096,,,,
2022-08-11 06-22-51,1112.44175,35559858176,43372589056,24576,4096,,,,
2022-08-11 06-22-55,1106.58003,35560546304,43374952448,24576,4096,,,,
2022-08-11 06-22-58,1000.873216,35560230912,43373113344,24576,4096,,,,
2022-08-11 06-23-02,973.4139487,35560505344,43375476736,24576,4096,,,,
2022-08-11 06-23-05,1120.903768,35561013248,43373637632,24576,4096,,,,
2022-08-11 06-23-09,961.6894198,35561250816,43376001024,4096,4096,,,,
2022-08-11 06-23-12,941.6769894,35561541632,43370221568,4096,4096,,,,
2022-08-11 06-23-16,936.2633619,35562020864,43374686208,4096,4096,,,,
2022-08-11 06-23-19,1013.582744,35562598400,43377049600,20480,4096,,,,
2022-08-11 06-23-23,1469.754202,35562295296,43379412992,4096,4096,,,,
2022-08-11 06-23-27,1213.861949,35562074112,43339751424,4096,4096,,,,
2022-08-11 06-23-30,1108.753447,35563098112,43356823552,4096,4096,,,,
2022-08-11 06-23-34,972.4643862,35590598656,43390758912,28672,4096,,,,
2022-08-11 06-23-37,960.4242681,35563020288,43367854080,4096,4096,,,,
2022-08-11 06-23-41,1127.979446,35563966464,43376521216,4096,4096,,,,
2022-08-11 06-23-44,1081.521648,35564503040,43378884608,4096,4096,,,,
2022-08-11 06-23-48,1275.524253,35564863488,43381248000,4096,4096,,,,
2022-08-11 06-23-52,1142.190761,35565232128,43375206400,4096,4096,,,,
2022-08-11 06-23-55,982.9858002,35565453312,43379933184,4096,4096,,,,
2022-08-11 06-23-59,1419.594437,35565039616,43378094080,4096,4096,,,,
2022-08-11 06-24-02,1223.647554,35565105152,43342635008,4096,4096,,,,
2022-08-11 06-24-06,982.7640345,35565764608,43359707136,4096,4096,,,,
2022-08-11 06-24-09,1133.894389,35566022656,43366273024,4096,4096,,,,
2022-08-11 06-24-13,1018.194081,35566419968,43372838912,4096,4096,,,,
2022-08-11 06-24-16,973.5370231,35565944832,43375202304,4096,4096,,,,
2022-08-11 06-24-20,1407.599471,35567005696,43379666944,4096,4096,,,,
2022-08-11 06-24-24,1052.241993,35567067136,43382030336,4096,4096,,,,
2022-08-11 06-24-27,1180.389918,35567214592,43344470016,4096,4096,,,,
2022-08-11 06-24-31,1200.210893,35567558656,43361542144,8192,8192,,,,
2022-08-11 06-24-34,983.7737755,35568533504,43366006784,28672,4096,,,,
2022-08-11 06-24-38,1130.891007,35567869952,43353923584,28672,4096,,,,
2022-08-11 06-24-42,1079.405627,35568566272,43368894464,28672,4096,,,,
2022-08-11 06-24-45,1065.043218,35568967680,43373359104,4096,4096,,,,
2022-08-11 06-24-49,1079.267085,35569356800,43375722496,28672,4096,,,,
2022-08-11 06-24-52,1108.411673,35569643520,43378085888,28672,4096,,,,
2022-08-11 06-24-56,946.0263203,35569655808,43380449280,28672,4096,,,,
2022-08-11 06-24-59,981.6627882,35570614272,43387015168,28672,4096,,,,
2022-08-11 06-25-03,1151.790622,35570565120,43383074816,28672,4096,,,,
2022-08-11 06-25-06,1090.13897,35571183616,43385438208,28672,4096,,,,
2022-08-11 06-25-10,906.8228808,35571027968,43387801600,28672,4096,,,,
2022-08-11 06-25-13,1030.380916,35571474432,43348140032,4096,4096,,,,
2022-08-11 06-25-17,908.2041815,35571126272,43361009664,28672,4096,,,,
2022-08-11 06-25-20,1106.904949,35572174848,43367837696,28672,4096,,,,
2022-08-11 06-25-24,895.2913833,35571814400,43376504832,28672,4096,,,,
2022-08-11 06-25-27,963.7296037,35572703232,43380969472,28672,4096,,,,
2022-08-11 06-25-31,1122.751843,35573067776,43385434112,28672,4096,,,,
2022-08-11 06-25-34,965.2450668,35572977664,43387797504,28672,4096,,,,
2022-08-11 06-25-38,1084.506212,35627597824,43444609024,28672,4096,,,,
2022-08-11 06-25-41,1100.1846,35573870592,43386220544,4096,4096,,,,
2022-08-11 06-25-45,998.6537403,35573850112,43390685184,4096,4096,,,,
2022-08-11 06-25-48,1116.533323,35573301248,43351023616,4096,4096,,,,
2022-08-11 06-25-52,928.0549003,35574198272,43365994496,4096,4096,,,,
2022-08-11 06-25-55,1013.575727,35574185984,43372560384,28672,4096,,,,
2022-08-11 06-25-59,1051.505737,35574956032,43377025024,4096,4096,,,,
